,D_ends,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
80,2800000000000000.0,28000000.0,0.1,0.3,0.0,0.0
81,2800000000000000.0,280000000.0,0.09,0.28618176042508375,0.02,0.13999999999999999
82,2800000000000000.0,2800000000.0,0.1,0.3,0.0,0.0
83,2800000000000000.0,28000000000.0,0.09,0.2861817604250837,0.02,0.13999999999999999
84,2800000000000000.0,280000000000.0,0.1,0.3,0.0,0.0
85,2800000000000000.0,2800000000000.0,0.11,0.31288975694324034,0.0,0.0
86,2800000000000000.0,28000000000000.0,0.07,0.25514701644346144,0.01,0.09949874371066199
87,2800000000000000.0,279999999999999.97,0.06,0.23748684174075835,0.02,0.13999999999999999
88,2800000000000000.0,2800000000000000.0,0.05,0.21794494717703367,0.01,0.09949874371066199
89,2800000000000000.0,2.8e+16,0.09,0.28618176042508375,0.0,0.0
90,2.8e+16,28000000.0,0.09,0.2861817604250837,0.0,0.0
91,2.8e+16,280000000.0,0.09,0.2861817604250837,0.0,0.0
92,2.8e+16,2800000000.0,0.05,0.21794494717703367,0.0,0.0
93,2.8e+16,28000000000.0,0.05,0.21794494717703367,0.0,0.0
94,2.8e+16,280000000000.0,0.04,0.19595917942265428,0.0,0.0
95,2.8e+16,2800000000000.0,0.05,0.2179449471770337,0.0,0.0
96,2.8e+16,28000000000000.0,0.06,0.23748684174075832,0.0,0.0
97,2.8e+16,279999999999999.97,0.1,0.3,0.0,0.0
98,2.8e+16,2800000000000000.0,0.03,0.17058722109231983,0.0,0.0
99,2.8e+16,2.8e+16,0.07,0.25514701644346144,0.0,0.0
