,D_ends,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
52,4979182348108983.0,1.5745557105329774e+16,0.076,0.26499811320083017,0.002,0.044676615807377355
53,4979182348108983.0,2.8e+16,0.071,0.2568248430350927,0.002,0.044676615807377355
54,8854377448471462.0,279999999999999.97,0.072,0.2584879107424562,0.008,0.08908422980528033
55,8854377448471462.0,497918234810898.4,0.064,0.24475293665245368,0.008,0.08908422980528033
56,8854377448471462.0,885437744847146.1,0.064,0.24475293665245368,0.006,0.07722693830523131
57,8854377448471462.0,1574555710532977.2,0.071,0.2568248430350927,0.009,0.09444045743218316
58,8854377448471462.0,2800000000000000.0,0.08,0.2712931993250107,0.003,0.054690035655501276
59,8854377448471462.0,4979182348108983.0,0.069,0.25345413786324344,0.004,0.063118935352238
60,8854377448471462.0,8854377448471462.0,0.083,0.2758822212466762,0.002,0.044676615807377355
61,8854377448471462.0,1.5745557105329774e+16,0.057,0.23184261903282577,0.002,0.044676615807377355
62,8854377448471462.0,2.8e+16,0.062,0.24115555146004825,0.0,0.0
63,1.5745557105329774e+16,279999999999999.97,0.073,0.2601365026289083,0.003,0.054690035655501276
64,1.5745557105329774e+16,497918234810898.4,0.061,0.23933031567271207,0.005,0.07053367989832944
65,1.5745557105329774e+16,885437744847146.1,0.071,0.2568248430350927,0.005,0.07053367989832944
66,1.5745557105329774e+16,1574555710532977.2,0.069,0.25345413786324344,0.008,0.08908422980528033
67,1.5745557105329774e+16,2800000000000000.0,0.063,0.24296296014001806,0.004,0.063118935352238
68,1.5745557105329774e+16,4979182348108983.0,0.074,0.26177089219391836,0.002,0.044676615807377355
69,1.5745557105329774e+16,8854377448471462.0,0.066,0.24828209762284514,0.0,0.0
70,1.5745557105329774e+16,1.5745557105329774e+16,0.07,0.25514701644346144,0.002,0.044676615807377355
71,1.5745557105329774e+16,2.8e+16,0.078,0.26817158686184484,0.002,0.044676615807377355
72,2.8e+16,279999999999999.97,0.061,0.23933031567271207,0.002,0.044676615807377355
73,2.8e+16,497918234810898.4,0.053,0.22403347964087864,0.001,0.03160696125855822
74,2.8e+16,885437744847146.1,0.058,0.23374344910606587,0.004,0.063118935352238
75,2.8e+16,1574555710532977.2,0.067,0.25002199903208516,0.0,0.0
76,2.8e+16,2800000000000000.0,0.068,0.251745903640953,0.001,0.03160696125855822
77,2.8e+16,4979182348108983.0,0.063,0.24296296014001809,0.002,0.044676615807377355
78,2.8e+16,8854377448471462.0,0.068,0.251745903640953,0.004,0.063118935352238
79,2.8e+16,1.5745557105329774e+16,0.06,0.23748684174075838,0.001,0.03160696125855822
80,2.8e+16,2.8e+16,0.068,0.25174590364095295,0.0,0.0
