D_ends,D_sites,Repair Rate,Repair Rate Std,Misrepair Rate,Misrepair Rate Std
31622776601683.793,10000000000.0,0.46,0.4983974317750845,0.046,0.2094850830011531
31622776601683.793,31622776601.683792,0.45,0.49749371855331004,0.04,0.19595917942265426
31622776601683.793,100000000000.0,0.462,0.4985539088203,0.024,0.15304901175767194
31622776601683.793,316227766016.83795,0.512,0.4998559792580259,0.036,0.18629009635512025
31622776601683.793,1000000000000.0,0.46,0.49839743177508444,0.032,0.176
31622776601683.793,3162277660168.3794,0.442,0.4966246067202068,0.034,0.18122913673027305
31622776601683.793,10000000000000.0,0.428,0.49478884385159694,0.052,0.2220270253820467
31622776601683.793,31622776601683.793,0.466,0.49884266056543325,0.052,0.2220270253820467
31622776601683.793,100000000000000.0,0.452,0.4976906669810074,0.058,0.23374344910606584
31622776601683.793,316227766016837.94,0.428,0.49478884385159694,0.032,0.17600000000000002
31622776601683.793,1000000000000000.0,0.446,0.49707544698969,0.022,0.14668333238647124
31622776601683.793,3162277660168379.5,0.44,0.4963869458396343,0.026,0.15913516267626085
31622776601683.793,1e+16,0.416,0.4928934976239796,0.014,0.11749042514179613
100000000000000.0,10000000000.0,0.218,0.4128873938497033,0.062,0.24115555146004825
100000000000000.0,31622776601.683792,0.238,0.4258591316386206,0.074,0.2617708921939183
100000000000000.0,100000000000.0,0.218,0.4128873938497033,0.064,0.2447529366524537
100000000000000.0,316227766016.83795,0.212,0.40872484632084705,0.068,0.251745903640953
100000000000000.0,1000000000000.0,0.214,0.41012680965769605,0.054,0.22601769842204836
100000000000000.0,3162277660168.3794,0.176,0.380820167533181,0.06,0.23748684174075835
100000000000000.0,10000000000000.0,0.224,0.41692205506545227,0.06,0.23748684174075838
100000000000000.0,31622776601683.793,0.194,0.39542888108988705,0.064,0.24475293665245368
100000000000000.0,100000000000000.0,0.192,0.3938730760029175,0.078,0.26817158686184484
100000000000000.0,316227766016837.94,0.204,0.4029689814365369,0.056,0.22992172581119863
100000000000000.0,1000000000000000.0,0.214,0.41012680965769605,0.038,0.19119623427254
100000000000000.0,3162277660168379.5,0.192,0.3938730760029175,0.02,0.13999999999999999
100000000000000.0,1e+16,0.196,0.3969685126052191,0.016,0.125475097130865
