r,D,Repair Rate,Repair Rate Std
0.0,1000000000.0,1.0,0.0
0.0,3162277660.1683793,0.995,0.07053367989832943
0.0,10000000000.0,0.995,0.07053367989832943
0.0,31622776601.683792,0.99,0.09949874371066199
0.0,100000000000.0,0.995,0.07053367989832944
0.0,316227766016.83795,0.995,0.07053367989832944
0.0,1000000000000.0,0.945,0.22798026230356
0.0,3162277660168.3794,0.725,0.4465142774872938
0.0,10000000000000.0,0.4,0.48989794855663565
0.0,31622776601683.793,0.265,0.4413332074521472
0.0,100000000000000.0,0.095,0.293214938227915
0.0,316227766016837.94,0.01,0.09949874371066199
0.0,1000000000000000.0,0.01,0.09949874371066199
0.0,3162277660168379.5,0.005,0.07053367989832945
0.0,1e+16,0.0,0.0
25.0,1000000000.0,0.93,0.2551470164434615
25.0,3162277660.1683793,0.92,0.2712931993250107
25.0,10000000000.0,0.92,0.2712931993250107
25.0,31622776601.683792,0.88,0.32496153618543844
25.0,100000000000.0,0.87,0.33630343441600474
25.0,316227766016.83795,0.86,0.3469870314579494
25.0,1000000000000.0,0.69,0.4624932431938871
25.0,3162277660168.3794,0.625,0.4841229182759271
25.0,10000000000000.0,0.485,0.49977494935220584
25.0,31622776601683.793,0.25,0.4330127018922193
25.0,100000000000000.0,0.115,0.31902194281898544
25.0,316227766016837.94,0.02,0.13999999999999999
25.0,1000000000000000.0,0.02,0.13999999999999999
25.0,3162277660168379.5,0.005,0.07053367989832943
25.0,1e+16,0.0,0.0
50.0,1000000000.0,0.0,0.0
50.0,3162277660.1683793,0.005,0.07053367989832944
50.0,10000000000.0,0.04,0.19595917942265428
50.0,31622776601.683792,0.075,0.26339134382131846
50.0,100000000000.0,0.2,0.4000000000000001
50.0,316227766016.83795,0.305,0.460407428263272
50.0,1000000000000.0,0.34,0.4737087712930804
50.0,3162277660168.3794,0.42,0.4935585071701227
50.0,10000000000000.0,0.32,0.46647615158762396
50.0,31622776601683.793,0.235,0.4239988207530771
50.0,100000000000000.0,0.145,0.352100837829165
50.0,316227766016837.94,0.04,0.19595917942265428
50.0,1000000000000000.0,0.015,0.1215524578114322
50.0,3162277660168379.5,0.0,0.0
50.0,1e+16,0.005,0.07053367989832944
100.0,1000000000.0,0.0,0.0
100.0,3162277660.1683793,0.0,0.0
100.0,10000000000.0,0.0,0.0
100.0,31622776601.683792,0.005,0.07053367989832945
100.0,100000000000.0,0.01,0.09949874371066199
100.0,316227766016.83795,0.05,0.21794494717703364
100.0,1000000000000.0,0.09,0.2861817604250837
100.0,3162277660168.3794,0.15,0.3570714214271425
100.0,10000000000000.0,0.225,0.4175823272122517
100.0,31622776601683.793,0.135,0.34172357249683555
100.0,100000000000000.0,0.1,0.3
100.0,316227766016837.94,0.035,0.1837797594948911
100.0,1000000000000000.0,0.02,0.13999999999999999
100.0,3162277660168379.5,0.005,0.07053367989832944
100.0,1e+16,0.0,0.0
200.0,1000000000.0,0.0,0.0
200.0,3162277660.1683793,0.0,0.0
200.0,10000000000.0,0.0,0.0
200.0,31622776601.683792,0.0,0.0
200.0,100000000000.0,0.0,0.0
200.0,316227766016.83795,0.0,0.0
200.0,1000000000000.0,0.02,0.13999999999999999
200.0,3162277660168.3794,0.015,0.12155245781143219
200.0,10000000000000.0,0.09,0.2861817604250837
200.0,31622776601683.793,0.03,0.1705872210923198
200.0,100000000000000.0,0.065,0.246525860712421
200.0,316227766016837.94,0.03,0.1705872210923198
200.0,1000000000000000.0,0.0,0.0
200.0,3162277660168379.5,0.0,0.0
200.0,1e+16,0.0,0.0
400.0,1000000000.0,0.0,0.0
400.0,3162277660.1683793,0.0,0.0
400.0,10000000000.0,0.0,0.0
400.0,31622776601.683792,0.0,0.0
400.0,100000000000.0,0.0,0.0
400.0,316227766016.83795,0.0,0.0
400.0,1000000000000.0,0.0,0.0
400.0,3162277660168.3794,0.01,0.09949874371066199
400.0,10000000000000.0,0.015,0.12155245781143219
400.0,31622776601683.793,0.025,0.15612494995995996
400.0,100000000000000.0,0.02,0.13999999999999999
400.0,316227766016837.94,0.0,0.0
400.0,1000000000000000.0,0.005,0.07053367989832943
400.0,3162277660168379.5,0.0,0.0
400.0,1e+16,0.0,0.0
