,Delay Time,D,Repair Rate,Repair Rate Std
0,0.5,10000000.0,1.0,0.0
1,0.5,31622776.60168379,1.0,0.0
2,0.5,100000000.0,1.0,0.0
3,0.5,316227766.01683795,1.0,0.0
4,0.5,1000000000.0,1.0,0.0
5,0.5,3162277660.1683793,1.0,0.0
6,0.5,10000000000.0,1.0,0.0
7,0.5,31622776601.683792,0.99,0.09949874371066199
8,0.5,100000000000.0,1.0,0.0
9,0.5,316227766016.83795,1.0,0.0
10,0.5,1000000000000.0,0.97,0.17058722109231983
11,0.5,3162277660168.3794,0.82,0.38418745424597095
12,0.5,10000000000000.0,0.64,0.48
13,0.5,31622776601683.793,0.32,0.46647615158762396
14,0.5,100000000000000.0,0.1,0.3
15,0.5,316227766016837.94,0.09,0.28618176042508375
16,0.5,1000000000000000.0,0.0,0.0
17,0.5,3162277660168379.5,0.01,0.09949874371066199
18,0.5,1e+16,0.0,0.0
19,2.5,10000000.0,1.0,0.0
20,2.5,31622776.60168379,1.0,0.0
21,2.5,100000000.0,0.99,0.09949874371066199
22,2.5,316227766.01683795,1.0,0.0
23,2.5,1000000000.0,0.99,0.09949874371066199
24,2.5,3162277660.1683793,0.99,0.09949874371066199
25,2.5,10000000000.0,0.98,0.13999999999999999
26,2.5,31622776601.683792,1.0,0.0
27,2.5,100000000000.0,0.98,0.13999999999999999
28,2.5,316227766016.83795,0.98,0.13999999999999999
29,2.5,1000000000000.0,0.92,0.2712931993250107
30,2.5,3162277660168.3794,0.75,0.4330127018922193
31,2.5,10000000000000.0,0.57,0.49507575177946245
32,2.5,31622776601683.793,0.17,0.375632799419859
33,2.5,100000000000000.0,0.11,0.31288975694324034
34,2.5,316227766016837.94,0.01,0.09949874371066199
35,2.5,1000000000000000.0,0.02,0.13999999999999999
36,2.5,3162277660168379.5,0.0,0.0
37,2.5,1e+16,0.0,0.0
38,25.0,10000000.0,0.98,0.13999999999999999
39,25.0,31622776.60168379,0.97,0.1705872210923198
40,25.0,100000000.0,0.99,0.09949874371066199
41,25.0,316227766.01683795,1.0,0.0
42,25.0,1000000000.0,1.0,0.0
43,25.0,3162277660.1683793,0.98,0.13999999999999999
44,25.0,10000000000.0,0.98,0.13999999999999999
45,25.0,31622776601.683792,0.99,0.09949874371066199
46,25.0,100000000000.0,0.99,0.09949874371066199
47,25.0,316227766016.83795,0.91,0.28618176042508375
48,25.0,1000000000000.0,0.71,0.45376205218153715
