,Delay Time,D,Repair Rate,Repair Rate Std
107,452.5483399593904,10000000000000.0,0.098,0.2973146481423341
108,452.5483399593904,31622776601683.797,0.06,0.2374868417407583
109,452.5483399593904,100000000000000.0,0.012,0.1088852607105296
110,452.5483399593904,316227766016837.94,0.01,0.0994987437106619
111,452.5483399593904,1000000000000000.0,0.008,0.0890842298052803
112,452.5483399593904,3162277660168379.5,0.004,0.063118935352238
113,452.5483399593904,1e+16,0.0,0.0
114,1280.0,10000000.0,0.92,0.2712931993250107
115,1280.0,31622776.60168379,0.912,0.2832948993540123
116,1280.0,100000000.0,0.9,0.3
117,1280.0,316227766.01683795,0.912,0.2832948993540123
118,1280.0,1000000000.0,0.906,0.2918287168871494
119,1280.0,3162277660.16838,0.888,0.3153664535108323
120,1280.0,10000000000.0,0.906,0.2918287168871494
121,1280.0,31622776601.683792,0.84,0.3666060555964671
122,1280.0,100000000000.0,0.688,0.4633098315382483
123,1280.0,316227766016.83795,0.394,0.4886348329785751
124,1280.0,1000000000000.0,0.238,0.4258591316386206
125,1280.0,3162277660168.3794,0.098,0.2973146481423342
126,1280.0,10000000000000.0,0.066,0.2482820976228451
127,1280.0,31622776601683.797,0.04,0.1959591794226542
128,1280.0,100000000000000.0,0.014,0.1174904251417961
129,1280.0,316227766016837.94,0.004,0.063118935352238
130,1280.0,1000000000000000.0,0.0,0.0
131,1280.0,3162277660168379.5,0.008,0.0890842298052803
132,1280.0,1e+16,0.002,0.0446766158073773
133,3620.386719675124,10000000.0,0.82,0.3841874542459708
134,3620.386719675124,31622776.60168379,0.844,0.3628553430776512
135,3620.386719675124,100000000.0,0.828,0.3773804446443933
136,3620.386719675124,316227766.01683795,0.796,0.4029689814365368
137,3620.386719675124,1000000000.0,0.824,0.380820167533181
138,3620.386719675124,3162277660.16838,0.858,0.3490501396647765
139,3620.386719675124,10000000000.0,0.854,0.3531062163145815
140,3620.386719675124,31622776601.683792,0.696,0.4599826083668816
141,3620.386719675124,100000000000.0,0.5,0.5
142,3620.386719675124,316227766016.83795,0.28,0.4489988864128729
143,3620.386719675124,1000000000000.0,0.14,0.3469870314579494
144,3620.386719675124,3162277660168.3794,0.068,0.251745903640953
