Delay Time,D,Repair Rate,Repair Rate Std
2.5,10000000.0,0.998,0.044676615807377355
2.5,31622776.60168379,1.0,0.0
2.5,100000000.0,0.992,0.08908422980528033
2.5,316227766.01683795,0.998,0.044676615807377355
2.5,1000000000.0,0.986,0.11749042514179613
2.5,3162277660.1683793,0.996,0.063118935352238
2.5,10000000000.0,0.994,0.07722693830523131
2.5,31622776601.683792,0.988,0.10888526071052962
2.5,100000000000.0,0.994,0.07722693830523131
2.5,316227766016.83795,0.992,0.08908422980528033
2.5,1000000000000.0,0.944,0.22992172581119863
2.5,3162277660168.3794,0.752,0.4318518264405049
2.5,10000000000000.0,0.492,0.49993599590347565
2.5,31622776601683.793,0.256,0.4364218143035474
2.5,100000000000000.0,0.09,0.2861817604250837
2.5,316227766016837.94,0.032,0.17600000000000002
2.5,1000000000000000.0,0.008,0.08908422980528033
2.5,3162277660168379.5,0.002,0.044676615807377355
2.5,1e+16,0.0,0.0
7.0710678118654755,10000000.0,0.99,0.09949874371066199
7.0710678118654755,31622776.60168379,0.994,0.0772269383052313
7.0710678118654755,100000000.0,0.986,0.11749042514179613
7.0710678118654755,316227766.01683795,0.992,0.08908422980528033
7.0710678118654755,1000000000.0,0.978,0.14668333238647124
7.0710678118654755,3162277660.1683793,0.992,0.08908422980528033
7.0710678118654755,10000000000.0,0.98,0.13999999999999999
7.0710678118654755,31622776601.683792,0.99,0.099498743710662
7.0710678118654755,100000000000.0,0.998,0.044676615807377355
7.0710678118654755,316227766016.83795,0.98,0.13999999999999999
7.0710678118654755,1000000000000.0,0.852,0.355099985919459
7.0710678118654755,3162277660168.3794,0.61,0.4877499359302879
7.0710678118654755,10000000000000.0,0.352,0.4775939698111776
7.0710678118654755,31622776601683.793,0.22,0.41424630354415964
7.0710678118654755,100000000000000.0,0.06,0.23748684174075835
7.0710678118654755,316227766016837.94,0.022,0.14668333238647124
7.0710678118654755,1000000000000000.0,0.006,0.07722693830523131
7.0710678118654755,3162277660168379.5,0.0,0.0
7.0710678118654755,1e+16,0.0,0.0
20.0,10000000.0,0.99,0.09949874371066199
20.0,31622776.60168379,0.988,0.1088852607105296
20.0,100000000.0,0.986,0.11749042514179613
20.0,316227766.01683795,0.984,0.125475097130865
20.0,1000000000.0,0.976,0.15304901175767197
20.0,3162277660.1683793,0.984,0.125475097130865
20.0,10000000000.0,0.988,0.10888526071052962
20.0,31622776601.683792,0.984,0.125475097130865
20.0,100000000000.0,0.982,0.132951118836962
20.0,316227766016.83795,0.934,0.24828209762284514
20.0,1000000000000.0,0.792,0.4058768286069063
20.0,3162277660168.3794,0.508,0.49993599590347565
20.0,10000000000000.0,0.226,0.4182391660282428
20.0,31622776601683.793,0.13,0.33630343441600474
20.0,100000000000000.0,0.04,0.19595917942265426
20.0,316227766016837.94,0.008,0.08908422980528033
20.0,1000000000000000.0,0.0,0.0
20.0,3162277660168379.5,0.002,0.044676615807377355
20.0,1e+16,0.0,0.0
56.568542494923804,10000000.0,0.978,0.14668333238647124
56.568542494923804,31622776.60168379,0.978,0.14668333238647124
56.568542494923804,100000000.0,0.982,0.132951118836962
56.568542494923804,316227766.01683795,0.974,0.15913516267626085
56.568542494923804,1000000000.0,0.976,0.15304901175767194
56.568542494923804,3162277660.1683793,0.984,0.125475097130865
56.568542494923804,10000000000.0,0.968,0.176
56.568542494923804,31622776601.683792,0.974,0.15913516267626085
56.568542494923804,100000000000.0,0.968,0.17600000000000002
56.568542494923804,316227766016.83795,0.876,0.3295815528818322
56.568542494923804,1000000000000.0,0.61,0.4877499359302879
