Delay Time,D,Repair Rate,Repair Rate Std
2.5,10000000.0,1.0,0.0
2.5,31622776.60168379,1.0,0.0
2.5,100000000.0,0.998,0.044676615807377355
2.5,316227766.01683795,0.998,0.044676615807377355
2.5,1000000000.0,0.998,0.044676615807377355
2.5,3162277660.1683793,0.992,0.08908422980528033
2.5,10000000000.0,1.0,0.0
2.5,31622776601.683792,0.996,0.063118935352238
2.5,100000000000.0,0.996,0.063118935352238
2.5,316227766016.83795,0.996,0.063118935352238
2.5,1000000000000.0,0.958,0.20058913230780973
2.5,3162277660168.3794,0.788,0.40872484632084705
2.5,10000000000000.0,0.458,0.4982328772772828
2.5,31622776601683.793,0.29,0.4537620521815371
2.5,100000000000000.0,0.128,0.33408980828513757
2.5,316227766016837.94,0.056,0.22992172581119863
2.5,1000000000000000.0,0.008,0.08908422980528034
2.5,3162277660168379.5,0.002,0.044676615807377355
2.5,1e+16,0.0,0.0
7.0710678118654755,10000000.0,1.0,0.0
7.0710678118654755,31622776.60168379,0.99,0.099498743710662
7.0710678118654755,100000000.0,0.988,0.10888526071052962
7.0710678118654755,316227766.01683795,0.996,0.063118935352238
7.0710678118654755,1000000000.0,0.988,0.10888526071052959
7.0710678118654755,3162277660.1683793,0.994,0.0772269383052313
7.0710678118654755,10000000000.0,0.988,0.10888526071052962
7.0710678118654755,31622776601.683792,0.996,0.063118935352238
7.0710678118654755,100000000000.0,0.996,0.063118935352238
7.0710678118654755,316227766016.83795,0.982,0.132951118836962
7.0710678118654755,1000000000000.0,0.882,0.32260812141048156
7.0710678118654755,3162277660168.3794,0.632,0.48226133993924913
7.0710678118654755,10000000000000.0,0.372,0.48333839077813795
7.0710678118654755,31622776601683.793,0.188,0.3907121702737195
7.0710678118654755,100000000000000.0,0.084,0.2773878151613729
7.0710678118654755,316227766016837.94,0.034,0.18122913673027305
7.0710678118654755,1000000000000000.0,0.012,0.1088852607105296
7.0710678118654755,3162277660168379.5,0.0,0.0
7.0710678118654755,1e+16,0.0,0.0
20.0,10000000.0,0.988,0.1088852607105296
20.0,31622776.60168379,0.982,0.132951118836962
20.0,100000000.0,0.986,0.11749042514179613
20.0,316227766.01683795,0.996,0.063118935352238
20.0,1000000000.0,0.984,0.125475097130865
20.0,3162277660.1683793,0.994,0.07722693830523131
20.0,10000000000.0,0.994,0.0772269383052313
20.0,31622776601.683792,0.994,0.0772269383052313
20.0,100000000000.0,0.998,0.044676615807377355
20.0,316227766016.83795,0.934,0.24828209762284514
20.0,1000000000000.0,0.736,0.44079927404658914
20.0,3162277660168.3794,0.494,0.4999639987039066
20.0,10000000000000.0,0.308,0.4616665463297075
20.0,31622776601683.793,0.142,0.3490501396647765
20.0,100000000000000.0,0.066,0.24828209762284512
20.0,316227766016837.94,0.044,0.2050950998927083
20.0,1000000000000000.0,0.006,0.0772269383052313
20.0,3162277660168379.5,0.0,0.0
20.0,1e+16,0.0,0.0
56.568542494923804,10000000.0,0.978,0.14668333238647124
56.568542494923804,31622776.60168379,0.978,0.14668333238647124
56.568542494923804,100000000.0,0.984,0.125475097130865
56.568542494923804,316227766.01683795,0.982,0.132951118836962
56.568542494923804,1000000000.0,0.976,0.15304901175767194
56.568542494923804,3162277660.1683793,0.986,0.11749042514179613
56.568542494923804,10000000000.0,0.98,0.13999999999999999
56.568542494923804,31622776601.683792,0.982,0.132951118836962
56.568542494923804,100000000000.0,0.966,0.18122913673027305
56.568542494923804,316227766016.83795,0.852,0.35509998591945907
56.568542494923804,1000000000000.0,0.616,0.4863578929142613
56.568542494923804,3162277660168.3794,0.372,0.48333839077813795
56.568542494923804,10000000000000.0,0.2,0.4000000000000001
56.568542494923804,31622776601683.793,0.098,0.2973146481423342
56.568542494923804,100000000000000.0,0.036,0.18629009635512025
56.568542494923804,316227766016837.94,0.024,0.15304901175767194
56.568542494923804,1000000000000000.0,0.004,0.063118935352238
56.568542494923804,3162277660168379.5,0.002,0.044676615807377355
56.568542494923804,1e+16,0.0,0.0
160.0,10000000.0,0.964,0.18629009635512025
160.0,31622776.60168379,0.972,0.16497272501841023
160.0,100000000.0,0.96,0.19595917942265428
160.0,316227766.01683795,0.964,0.18629009635512025
