Delay Time,D,Repair Rate,Repair Rate Std
2.5,10000000.0,0.99,0.099498743710662
2.5,31622776.60168379,0.996,0.063118935352238
2.5,100000000.0,0.992,0.08908422980528033
2.5,316227766.01683795,0.998,0.044676615807377355
2.5,1000000000.0,0.988,0.1088852607105296
2.5,3162277660.1683793,0.998,0.044676615807377355
2.5,10000000000.0,0.994,0.07722693830523131
2.5,31622776601.683792,0.994,0.0772269383052313
2.5,100000000000.0,0.996,0.063118935352238
2.5,316227766016.83795,0.992,0.08908422980528033
2.5,1000000000000.0,0.95,0.21794494717703372
2.5,3162277660168.3794,0.734,0.44186423254207846
2.5,10000000000000.0,0.432,0.49535441857320706
2.5,31622776601683.793,0.262,0.439722639853806
2.5,100000000000000.0,0.106,0.3078376195334157
2.5,316227766016837.94,0.03,0.1705872210923198
2.5,1000000000000000.0,0.012,0.1088852607105296
2.5,3162277660168379.5,0.006,0.0772269383052313
2.5,1e+16,0.008,0.08908422980528033
7.0710678118654755,10000000.0,0.996,0.063118935352238
7.0710678118654755,31622776.60168379,0.992,0.08908422980528033
7.0710678118654755,100000000.0,0.988,0.1088852607105296
7.0710678118654755,316227766.01683795,0.992,0.08908422980528034
7.0710678118654755,1000000000.0,0.994,0.0772269383052313
7.0710678118654755,3162277660.1683793,0.994,0.0772269383052313
7.0710678118654755,10000000000.0,0.988,0.10888526071052962
7.0710678118654755,31622776601.683792,0.99,0.09949874371066199
7.0710678118654755,100000000000.0,0.992,0.08908422980528034
7.0710678118654755,316227766016.83795,0.978,0.14668333238647124
7.0710678118654755,1000000000000.0,0.87,0.33630343441600474
7.0710678118654755,3162277660168.3794,0.596,0.49069746280167376
7.0710678118654755,10000000000000.0,0.406,0.49108451411136966
7.0710678118654755,31622776601683.793,0.19,0.39230090491866065
7.0710678118654755,100000000000000.0,0.082,0.27436472076416824
7.0710678118654755,316227766016837.94,0.028,0.16497272501841023
7.0710678118654755,1000000000000000.0,0.01,0.09949874371066199
7.0710678118654755,3162277660168379.5,0.004,0.063118935352238
7.0710678118654755,1e+16,0.002,0.044676615807377355
20.0,10000000.0,0.982,0.132951118836962
20.0,31622776.60168379,0.984,0.125475097130865
20.0,100000000.0,0.986,0.11749042514179613
20.0,316227766.01683795,0.976,0.15304901175767194
20.0,1000000000.0,0.984,0.125475097130865
20.0,3162277660.1683793,0.988,0.10888526071052962
20.0,10000000000.0,0.992,0.08908422980528034
20.0,31622776601.683792,0.98,0.13999999999999999
20.0,100000000000.0,0.986,0.11749042514179611
20.0,316227766016.83795,0.93,0.25514701644346144
20.0,1000000000000.0,0.748,0.43416126036301306
20.0,3162277660168.3794,0.486,0.4998039615689336
20.0,10000000000000.0,0.306,0.46082968654373824
20.0,31622776601683.793,0.144,0.35108973211986705
20.0,100000000000000.0,0.048,0.2137662274541982
20.0,316227766016837.94,0.018,0.132951118836962
20.0,1000000000000000.0,0.004,0.063118935352238
20.0,3162277660168379.5,0.004,0.063118935352238
20.0,1e+16,0.0,0.0
56.568542494923804,10000000.0,0.972,0.16497272501841023
56.568542494923804,31622776.60168379,0.966,0.18122913673027305
56.568542494923804,100000000.0,0.976,0.15304901175767194
56.568542494923804,316227766.01683795,0.976,0.15304901175767194
56.568542494923804,1000000000.0,0.974,0.15913516267626082
56.568542494923804,3162277660.1683793,0.966,0.18122913673027302
56.568542494923804,10000000000.0,0.97,0.17058722109231983
56.568542494923804,31622776601.683792,0.978,0.14668333238647124
56.568542494923804,100000000000.0,0.964,0.18629009635512025
56.568542494923804,316227766016.83795,0.866,0.3406523154185217
56.568542494923804,1000000000000.0,0.626,0.4838636171484688
56.568542494923804,3162277660168.3794,0.35,0.47696960070847283
56.568542494923804,10000000000000.0,0.202,0.40149221661197876
56.568542494923804,31622776601683.793,0.104,0.30526054445342266
56.568542494923804,100000000000000.0,0.044,0.20509509989270833
56.568542494923804,316227766016837.94,0.012,0.10888526071052962
56.568542494923804,1000000000000000.0,0.002,0.044676615807377355
56.568542494923804,3162277660168379.5,0.004,0.063118935352238
56.568542494923804,1e+16,0.002,0.044676615807377355
160.0,10000000.0,0.94,0.23748684174075838
160.0,31622776.60168379,0.95,0.21794494717703372
160.0,100000000.0,0.976,0.15304901175767194
160.0,316227766.01683795,0.966,0.18122913673027302
160.0,1000000000.0,0.942,0.23374344910606587
160.0,3162277660.1683793,0.962,0.19119623427254
160.0,10000000000.0,0.948,0.22202702538204672
160.0,31622776601.683792,0.96,0.19595917942265426
160.0,100000000000.0,0.928,0.2584879107424562
160.0,316227766016.83795,0.746,0.4352975993501457
160.0,1000000000000.0,0.478,0.4995157655169654
160.0,3162277660168.3794,0.256,0.4364218143035474
160.0,10000000000000.0,0.128,0.33408980828513757
160.0,31622776601683.793,0.072,0.2584879107424562
160.0,100000000000000.0,0.022,0.14668333238647124
160.0,316227766016837.94,0.008,0.08908422980528034
160.0,1000000000000000.0,0.002,0.044676615807377355
160.0,3162277660168379.5,0.004,0.063118935352238
160.0,1e+16,0.0,0.0
452.54833995939043,10000000.0,0.918,0.27436472076416824
452.54833995939043,31622776.60168379,0.912,0.28329489935401236
452.54833995939043,100000000.0,0.912,0.28329489935401236
452.54833995939043,316227766.01683795,0.912,0.28329489935401236
452.54833995939043,1000000000.0,0.926,0.2617708921939183
452.54833995939043,3162277660.1683793,0.932,0.251745903640953
452.54833995939043,10000000000.0,0.916,0.2773878151613729
452.54833995939043,31622776601.683792,0.926,0.2617708921939183
452.54833995939043,100000000000.0,0.83,0.375632799419859
452.54833995939043,316227766016.83795,0.58,0.4935585071701227
452.54833995939043,1000000000000.0,0.344,0.47504105085771264
452.54833995939043,3162277660168.3794,0.166,0.37208063642173045
452.54833995939043,10000000000000.0,0.1,0.3
452.54833995939043,31622776601683.793,0.038,0.19119623427254
452.54833995939043,100000000000000.0,0.012,0.10888526071052962
452.54833995939043,316227766016837.94,0.006,0.0772269383052313
452.54833995939043,1000000000000000.0,0.008,0.08908422980528036
452.54833995939043,3162277660168379.5,0.002,0.044676615807377355
452.54833995939043,1e+16,0.0,0.0
1280.0,10000000.0,0.878,0.32728580781940425
1280.0,31622776.60168379,0.888,0.31536645351083237
1280.0,100000000.0,0.884,0.32022492095400695
1280.0,316227766.01683795,0.894,0.3078376195334157
1280.0,1000000000.0,0.88,0.32496153618543844
1280.0,3162277660.1683793,0.856,0.35108973211986705
1280.0,10000000000.0,0.858,0.3490501396647765
1280.0,31622776601.683792,0.86,0.3469870314579494
1280.0,100000000000.0,0.66,0.4737087712930805
1280.0,316227766016.83795,0.38,0.48538644398046393
1280.0,1000000000000.0,0.246,0.43067853440820564
1280.0,3162277660168.3794,0.088,0.28329489935401236
1280.0,10000000000000.0,0.058,0.23374344910606584
1280.0,31622776601683.793,0.04,0.19595917942265426
1280.0,100000000000000.0,0.012,0.1088852607105296
1280.0,316227766016837.94,0.004,0.063118935352238
1280.0,1000000000000000.0,0.004,0.063118935352238
1280.0,3162277660168379.5,0.002,0.044676615807377355
1280.0,1e+16,0.0,0.0
