,Delay Time,D,Repair Rate,Repair Rate Std
0,0.5,10000000.0,1.0,0.0
1,0.5,31622776.60168379,1.0,0.0
2,0.5,100000000.0,1.0,0.0
3,0.5,316227766.01683795,1.0,0.0
4,0.5,1000000000.0,1.0,0.0
5,0.5,3162277660.1683793,1.0,0.0
6,0.5,10000000000.0,1.0,0.0
7,0.5,31622776601.683792,1.0,0.0
8,0.5,100000000000.0,1.0,0.0
9,0.5,316227766016.83795,0.99,0.09949874371066199
10,0.5,1000000000000.0,0.97,0.17058722109231983
11,0.5,3162277660168.3794,0.72,0.44899888641287283
12,0.5,10000000000000.0,0.52,0.49959983987187184
13,0.5,31622776601683.793,0.22,0.41424630354415964
14,0.5,100000000000000.0,0.05,0.21794494717703367
15,0.5,316227766016837.94,0.01,0.09949874371066199
16,0.5,1000000000000000.0,0.0,0.0
17,0.5,3162277660168379.5,0.0,0.0
18,0.5,1e+16,0.0,0.0
19,2.5,10000000.0,1.0,0.0
20,2.5,31622776.60168379,1.0,0.0
21,2.5,100000000.0,0.97,0.17058722109231983
22,2.5,316227766.01683795,1.0,0.0
23,2.5,1000000000.0,1.0,0.0
24,2.5,3162277660.1683793,0.99,0.09949874371066199
25,2.5,10000000000.0,1.0,0.0
26,2.5,31622776601.683792,0.98,0.13999999999999999
27,2.5,100000000000.0,0.99,0.09949874371066199
28,2.5,316227766016.83795,0.99,0.09949874371066199
29,2.5,1000000000000.0,0.91,0.2861817604250837
30,2.5,3162277660168.3794,0.64,0.48
31,2.5,10000000000000.0,0.35,0.4769696007084728
32,2.5,31622776601683.793,0.15,0.3570714214271425
33,2.5,100000000000000.0,0.05,0.21794494717703367
34,2.5,316227766016837.94,0.01,0.09949874371066199
35,2.5,1000000000000000.0,0.0,0.0
36,2.5,3162277660168379.5,0.0,0.0
37,2.5,1e+16,0.0,0.0
38,25.0,10000000.0,0.98,0.13999999999999999
39,25.0,31622776.60168379,0.97,0.17058722109231983
40,25.0,100000000.0,0.98,0.13999999999999999
41,25.0,316227766.01683795,0.99,0.09949874371066199
42,25.0,1000000000.0,1.0,0.0
43,25.0,3162277660.1683793,0.99,0.09949874371066199
44,25.0,10000000000.0,0.97,0.1705872210923198
45,25.0,31622776601.683792,0.97,0.17058722109231983
46,25.0,100000000000.0,0.95,0.21794494717703375
47,25.0,316227766016.83795,0.9,0.3
48,25.0,1000000000000.0,0.68,0.466476151587624
49,25.0,3162277660168.3794,0.34,0.4737087712930805
